idUnificado,_Li,_Na,_K,_Mg,_Ca,_Cl,_SO4,_HCO3,Temperature
493,,98.4,5.21,0.029,1.23,51.7,57,,147
494,,5900,293,100,11600,37000,1195,,200
495,,2740,500,0.22,2.75,2890,1380,,238
496,,2240,320,1.2,17.3,2940,360,,209
497,,1760,285,1.1,15.3,1840,585,,200
498,,1698,342,14.8,25.4,1531,1150,,120
499,,2360,153,3.5,23.6,3315,157,,186
500,,2120,286,2.6,12,3000,250,,187
501,,2370,221,0.06,11.2,3230,206,,300
502,,2090,195,0.08,152,3230,106,,200
503,,1008,252,0.03,116,2750,249,,298
504,,1896,391,2.6,27.6,1721,1289,,187
505,,4800,297,,117,,,,200
506,,15000,2480,,2520,,,,230
507,,25000,5000,,11000,,,,240
508,,39280,5000,,11000,,,,240
509,,64000,14700,,30400,,,,285
510,,41400,11800,,20900,,,,295
511,,46200,12500,,22800,,,,300
512,,60000,20300,,30400,,,,300
513,,68925,20300,,30400,,,,300
514,,47000,14000,,21200,,,,300
515,,70000,24000,,34470,,,,305
516,,77000,24000,,34470,,,,305
517,,50900,16700,,31900,,,,305
518,,53000,16500,,27800,,,,320
519,,74700,21900,,39700,,,,320
520,,53700,17100,,26300,,,,320
521,,54800,17700,,28500,,,,330
522,,62800,20800,,31500,,,,340
523,,1525,203,0.05,0.53,132,526,,242
529,,1550,140,0.24,1.8,140,772,,202
530,,1282,144,0.15,0.47,100,504,,202
533,,1355,45,16,50,1586,37,,203
534,,1830,189,0.1,1.6,1359,71,,231
535,,1775,170,0.5,1.6,1818,74,,230
536,,1420,135,1.7,12,1500,37,,213
537,,1387,128,6.8,8.4,1454,46,,221
538,,1775,180,0.1,3.6,1882,64,,221
539,,1100,132,6.1,19,855,51,,203
540,,1550,15,243,8,1528,45,,220
541,,1750,105,1.2,4.8,1819,133,,224
547,,4435,700,,,,,,213
548,,4435,700,,,,,,212.1
549,,4435,700,,,,,,211.8
550,,4400,740,,,,,,217.5
551,,4400,740,,,,,,218.3
552,,4400,740,,,,,,227.3
553,,4400,740,,,,,,238.3
554,,5500,1000,,,,,,250
555,,4900,770,,,,,,195.4
556,,4900,770,,,,,,200
557,,4900,770,,,,,,219.3
558,,3260,387,,,,,,152.4
559,,3260,387,,,,,,162.3
564,,9610,1348,16,1530,19260,30.8,2670,277
569,,947,13.6,,,18,31,2484,173
570,,675,157,0.1,1,310,282,830,315
571,,758,230,0.5,5,479,473,375,231
572,,1060,148,0.5,6,720,168,1300,208
573,,934,150,0.2,6,454,204,1442,335
574,,670,53,0.4,6,550,73,536,271
575,,89,20,0.2,1,21,6,208,110
576,,1015,138,0.4,3.8,671,131,1647,233
577,,688,223,0.3,0.8,459,372,854,235
578,,854,47,0.6,2.6,302,31,1769,226
579,,34.2,3.8,0.14,9.7,18.2,17.8,83.4,240
580,,79,6.7,0.29,2.8,37,35.9,176,240
581,,370,34,0.6,2.6,260,130,359,170
582,,360,33,0.6,2.5,250,120,358,175
583,,369,43,0.2,7.4,280,159,376,202
584,,78000.0,1065.00,1140,10250,143000,6.4,450,117
585,,40000,265,270,1860,67900,220,1050,114
586,,54800,6500,3350.0,33900,170000,161,197,118
587,,1004,66,6,22.5,248,200,2000,115
588,,1004,66,6,22.5,248,200,2000,117
589,,452922.7,59435.04,243.05,3607.2,524689.6,,,165
590,,600,90,1.5,5,468,172,799,120
591,,154,16.8,48.2,65.4,65.7,84,714,126
592,,380,23,7.1,1.4,282,166,390,148
593,,229,17.9,6.1,5.8,64.6,85,487,102
594,,175,7,0.15,5.3,153,33,151.3,120
595,,75000.0,1250.00,1300,6690,132200,465,240,123
596,,387.5,19.6,0.07,67.1,658.5,122.5,,134
597,,386,19,0.02,74,634,121,,116
598,,355.5,10,0.1,139,670.8,204.8,,144
599,,597,14,0.38,523,1617,305,,117
600,,118,12.1,0.06,9.5,96,53,165,175
601,,174,11.8,0.88,45,185,41,300,129
604,,1190,238,,2.46,1952,91,,220
605,,1481,218,0.154,1.48,1300,105,,220
606,,1465,211,0.008,1.24,1173,85,,220
607,,1473,218,0.007,0.54,1966,95,,230
608,,1473,218,0.007,0.54,1966,95,,249
609,,1634,275,,0.62,2027,96,,230
610,,1606,225,,0.48,1941,93,,230
611,,1606,225,,0.48,1941,93,,253
612,,1544,217,0.142,0.43,2027,97,,230
613,,1544,217,0.142,0.43,2027,97,,266
614,,1390,201,0.022,0.47,1084,89,,233
615,,1412,199,,0.39,1238,116,,233
616,,1395,216,,0.14,1232,114,,233
617,,1411,215,,0.42,1138,98,,238
618,,1725,265,0.007,0.59,2242,120,,240
619,,1725,265,0.007,0.59,2242,120,,269
620,,1633,263,0.014,0.81,2228,120,,275
621,,1714,281,0.007,0.92,2612,143,,275
622,,1547,272,,0.67,2189,117,,291
623,,1576,256,,1.46,2190,145,,240
624,,1576,255,,1.46,2189,145,,254
625,,1464,257,0.007,1.46,1743,133,,240
626,,1636,245,0.007,1.54,2364,150,,240
627,,1636,245,0.007,1.54,2364,150,,254
628,,1689,250,0.007,1.83,2254,145,,240
629,,1688,250,0.007,1.83,2253,145,,261
631,,1220,116,0.36,1.2,124,560,1586,196
632,,1300,138,0.25,2,128,773,1525,195
633,,1410,152,0.2,1.2,144,737,2403,207
634,,1340,138,0.15,1.2,140,730,1464,205
635,,1400,148,0.24,3.2,136,714,1525,211
636,,1375,140,0.15,1.6,140,710,1159,201
637,,1325,131,0.24,1.8,140,710,1220,202
638,,1275,140,0.24,1.2,136,729,1586,202
639,,1556,245,0.23,2.67,134,792,3074,242
640,,1240,120,1.2,2,112,727,1335,171
641,,750,75,12,12,76,1350,446,190
643,,398.0,17.80,0.021,73.2,743,121,,136
644,,152,12.4,0.064,2.51,131.3,41.7,,182
645,,167,12.5,0.001,2.26,130.4,40.9,,184
646,,177,18.2,0.001,2.3,185.2,33.7,,216
647,,207,14.4,0.01,1.98,28.9,196,,193
648,,196.8,31.8,0.01,1.7,37,139.4,,245
649,,187.4,25.4,0.001,1.5,46.6,124.2,,290
650,,163.4,32.7,0.032,0.47,69.4,3.68,,310
651,,203,24.2,0.054,3,24.1,249,,195
652,,206,25.7,0.047,2.55,24.4,232.7,,203
653,,230.9,27.6,0.004,2.26,26.5,209.2,,215
654,,10025,1230,,555,17710,,,240
655,,12589,2342,,1281,22810,,,305
656,,5090,1180,,480,10200,,,315
663,,1325,131,0.24,1.8,140,710,,202
664,,1275,140,0.24,1.2,136,729,,202
666,,160,11.05,0.002,1.62,130.17,43.5,,169
667,,160,12.25,0.003,1.86,135.67,42.34,,168
668,,189,9.2,0.007,2.08,124,70.3,,178
669,,167,12.7,,2.05,132,41.5,,181
